date,ticker,region,existing_cards,existing_txns,existing_spend,new_cards,new_txns,new_spend
2026-04-09,VRDE,WEST,4413,581,7807.66,334,41,528.18
2026-04-10,VRDE,NORTHEAST,4107,584,8067.09,371,46,614.32
2026-04-10,VRDE,SOUTHEAST,3549,454,6318.48,293,33,438.94
2026-04-10,VRDE,MIDWEST,3610,510,7070.73,273,33,440.35
2026-04-10,VRDE,WEST,4593,650,8917.78,359,45,574.33
2026-04-11,VRDE,NORTHEAST,4334,515,6955.97,324,34,405.68
2026-04-11,VRDE,SOUTHEAST,4193,544,7396.72,344,38,509.97
2026-04-11,VRDE,MIDWEST,3138,415,5540.8,292,33,410.58
2026-04-11,VRDE,WEST,4201,516,7124.5,399,47,555.67
2026-04-12,VRDE,NORTHEAST,3642,458,6126.62,337,39,505.66
2026-04-12,VRDE,SOUTHEAST,3562,441,5980.14,321,36,510.36
2026-04-12,VRDE,MIDWEST,3321,437,5726.45,275,32,430.4
2026-04-12,VRDE,WEST,4591,614,8304.77,331,27,391.47
2026-04-13,VRDE,NORTHEAST,4381,570,7292.93,321,40,464.34
2026-04-13,VRDE,SOUTHEAST,3724,511,6934.71,342,38,543.3
2026-04-13,VRDE,MIDWEST,3192,382,5207.94,319,36,485.55
2026-04-13,VRDE,WEST,4504,546,7682.44,443,56,716.98
2026-04-14,VRDE,NORTHEAST,3963,480,6444.47,379,45,544.77
2026-04-14,VRDE,SOUTHEAST,3823,499,6755.38,325,36,480.05
2026-04-14,VRDE,MIDWEST,3386,447,5917.4,298,33,396.97
2026-04-14,VRDE,WEST,4739,608,8438.9,393,44,576.5
2026-04-15,VRDE,NORTHEAST,4204,533,6808.8,419,41,530.1
2026-04-15,VRDE,SOUTHEAST,3909,521,7152.65,349,43,570.66
2026-04-15,VRDE,MIDWEST,3854,471,6410.3,284,31,402.92
2026-04-15,VRDE,WEST,4964,619,8181.44,425,50,702.04
2026-04-16,VRDE,NORTHEAST,4422,583,7800.74,376,42,513.58
2026-04-16,VRDE,SOUTHEAST,3787,488,6539.35,321,41,549.26
2026-04-16,VRDE,MIDWEST,3523,442,5781.63,289,33,425.81
2026-04-16,VRDE,WEST,4583,631,8595.37,374,41,516.16
2026-04-17,VRDE,NORTHEAST,4244,513,6892.49,394,45,557.65
2026-04-17,VRDE,SOUTHEAST,3669,480,6583.51,358,40,491.95
2026-04-17,VRDE,MIDWEST,3605,477,6520.29,306,32,405.96
2026-04-17,VRDE,WEST,4686,647,8753.21,308,34,449.18
2026-04-18,VRDE,NORTHEAST,4478,606,8802.2,420,53,707.76
2026-04-18,VRDE,SOUTHEAST,3524,481,6611.98,325,38,507.19
2026-04-18,VRDE,MIDWEST,3287,424,5677.11,307,33,444.49
2026-04-18,VRDE,WEST,4183,534,6848.76,398,47,609.16
2026-04-19,VRDE,NORTHEAST,4183,545,7706.89,347,42,511.97
2026-04-19,VRDE,SOUTHEAST,3697,484,6375.15,348,42,514.6
2026-04-19,VRDE,MIDWEST,3352,425,5406.95,300,32,433.87
2026-04-19,VRDE,WEST,4424,633,8406.81,484,57,753.27
2026-04-20,VRDE,NORTHEAST,4376,598,8415.26,438,48,592.87
2026-04-20,VRDE,SOUTHEAST,3280,415,5736.67,356,41,520.15
2026-04-20,VRDE,MIDWEST,3257,415,5670.97,264,31,386.0
2026-04-20,VRDE,WEST,4590,572,7644.57,387,40,510.79
2026-04-21,VRDE,NORTHEAST,3977,591,7880.77,368,40,492.96
2026-04-21,VRDE,SOUTHEAST,3319,423,5766.56,307,35,428.44
2026-04-21,VRDE,MIDWEST,3358,444,6082.95,321,34,459.66
2026-04-21,VRDE,WEST,4521,598,8239.04,416,42,560.64
2026-04-22,VRDE,NORTHEAST,3969,486,6343.17,418,47,550.09
2026-04-22,VRDE,SOUTHEAST,3923,570,8117.12,336,38,506.02
2026-04-22,VRDE,MIDWEST,3514,455,5945.43,332,39,483.41
2026-04-22,VRDE,WEST,4540,596,8052.13,449,54,714.4
2026-04-23,VRDE,NORTHEAST,4180,496,6822.66,440,58,744.78
2026-04-23,VRDE,SOUTHEAST,3777,530,7466.81,365,44,548.47
2026-04-23,VRDE,MIDWEST,3461,425,5710.56,313,34,403.91
2026-04-23,VRDE,WEST,4433,584,7868.55,421,49,655.21
2026-04-24,VRDE,NORTHEAST,4382,538,7266.38,388,41,496.71
2026-04-24,VRDE,SOUTHEAST,3764,460,6612.8,356,39,503.82
2026-04-24,VRDE,MIDWEST,3678,448,6013.3,299,33,433.31
2026-04-24,VRDE,WEST,4877,576,7766.32,496,54,690.86
2026-04-25,VRDE,NORTHEAST,4016,436,5870.14,441,48,574.83
2026-04-25,VRDE,SOUTHEAST,3833,496,6901.31,389,43,565.71
2026-04-25,VRDE,MIDWEST,3059,421,5710.55,350,43,549.71
2026-04-25,VRDE,WEST,4588,560,7094.33,438,50,621.11
2026-04-26,VRDE,NORTHEAST,4352,564,7713.46,381,37,494.21
2026-04-26,VRDE,SOUTHEAST,3898,499,6645.67,358,40,507.2
2026-04-26,VRDE,MIDWEST,3024,408,5256.48,316,35,456.55
2026-04-26,VRDE,WEST,4250,587,8078.81,475,59,741.1
2026-04-27,VRDE,NORTHEAST,3544,465,6527.31,449,49,626.66
2026-04-27,VRDE,SOUTHEAST,3838,440,5827.68,351,45,563.93
2026-04-27,VRDE,MIDWEST,3628,467,5995.58,387,40,535.99
2026-04-27,VRDE,WEST,5022,626,8140.69,489,56,686.16
2026-04-28,VRDE,NORTHEAST,3979,500,6946.98,405,48,666.4
2026-04-28,VRDE,SOUTHEAST,4026,563,7879.27,325,40,530.25
2026-04-28,VRDE,MIDWEST,3344,402,5173.3,302,34,421.57
2026-04-28,VRDE,WEST,4438,550,7574.25,445,50,679.55
2026-04-29,VRDE,NORTHEAST,4139,551,7206.47,429,49,640.09
2026-04-29,VRDE,SOUTHEAST,3697,446,5967.15,362,44,596.27
2026-04-29,VRDE,MIDWEST,3163,422,5614.78,347,38,460.39
2026-04-29,VRDE,WEST,4862,642,8350.06,390,42,522.31
2026-04-30,VRDE,NORTHEAST,4130,550,7755.78,410,52,698.67
2026-04-30,VRDE,SOUTHEAST,3703,428,5928.15,398,54,734.14
2026-04-30,VRDE,MIDWEST,3497,495,6470.27,343,38,526.53
2026-04-30,VRDE,WEST,4759,499,7018.52,431,52,658.88
2026-05-01,VRDE,NORTHEAST,4260,568,7713.52,394,50,653.23
2026-05-01,VRDE,SOUTHEAST,3785,507,6734.72,442,51,670.14
2026-05-01,VRDE,MIDWEST,3426,416,5422.4,347,40,552.71
2026-05-01,VRDE,WEST,4736,569,7803.55,500,61,804.69
2026-05-02,VRDE,NORTHEAST,3953,543,7171.15,450,45,596.02
2026-05-02,VRDE,SOUTHEAST,3641,497,7077.61,423,43,542.97
2026-05-02,VRDE,MIDWEST,3221,430,5867.17,348,40,537.0
2026-05-02,VRDE,WEST,4782,676,9112.71,481,46,569.84
2026-05-03,VRDE,NORTHEAST,4063,484,6577.71,470,51,653.03
2026-05-03,VRDE,SOUTHEAST,3690,476,6331.64,403,47,614.92
2026-05-03,VRDE,MIDWEST,3494,448,6082.82,396,45,596.68
2026-05-03,VRDE,WEST,4640,578,7696.41,445,51,638.01
2026-05-04,VRDE,NORTHEAST,4117,565,7601.89,477,55,738.87
2026-05-04,VRDE,SOUTHEAST,3670,473,6900.38,419,51,670.4
2026-05-04,VRDE,MIDWEST,3509,417,5492.85,361,44,555.44
2026-05-04,VRDE,WEST,4582,573,7695.83,434,43,561.51
2026-05-05,VRDE,NORTHEAST,3839,461,6106.53,403,46,591.03
2026-05-05,VRDE,SOUTHEAST,3767,452,5962.34,412,48,609.38
2026-05-05,VRDE,MIDWEST,3422,442,5989.33,397,43,571.17
2026-05-05,VRDE,WEST,4718,593,7727.57,511,59,763.21
2026-05-06,VRDE,NORTHEAST,4204,536,7041.64,454,44,565.96
2026-05-06,VRDE,SOUTHEAST,3495,436,6002.21,390,42,558.85
2026-05-06,VRDE,MIDWEST,3312,411,5480.26,397,47,621.79
2026-05-06,VRDE,WEST,4339,573,7423.76,506,52,723.13
2026-05-07,VRDE,NORTHEAST,3840,524,7234.61,383,42,577.99
2026-05-07,VRDE,SOUTHEAST,3989,456,6055.96,364,37,473.36
2026-05-07,VRDE,MIDWEST,3664,469,6284.29,347,41,547.34
2026-05-07,VRDE,WEST,4400,608,7934.31,480,56,773.16
2026-05-08,VRDE,NORTHEAST,4120,532,7451.22,472,58,780.94
2026-05-08,VRDE,SOUTHEAST,3822,504,6975.71,404,51,610.53
2026-05-08,VRDE,MIDWEST,3199,441,6026.08,341,40,533.97
2026-05-08,VRDE,WEST,4483,595,7995.35,490,55,741.27
2026-05-09,VRDE,NORTHEAST,3957,491,6747.14,409,40,531.68
2026-05-09,VRDE,SOUTHEAST,3774,474,6421.93,376,52,649.4
2026-05-09,VRDE,MIDWEST,3281,380,5065.02,407,46,608.11
2026-05-09,VRDE,WEST,4500,633,8576.05,449,54,683.57
2026-05-10,VRDE,NORTHEAST,4321,552,7500.15,462,48,586.44
2026-05-10,VRDE,SOUTHEAST,3958,497,6762.82,396,37,458.2
2026-05-10,VRDE,MIDWEST,3589,433,5772.31,323,35,442.98
2026-05-10,VRDE,WEST,4561,575,7605.87,480,54,706.31
2026-05-11,VRDE,NORTHEAST,4162,582,7893.5,467,50,669.94
2026-05-11,VRDE,SOUTHEAST,3579,409,5347.24,435,44,604.9
2026-05-11,VRDE,MIDWEST,3349,385,5154.09,422,44,540.68
2026-05-11,VRDE,WEST,4729,645,8963.85,494,56,737.95
2026-05-12,VRDE,NORTHEAST,4438,634,8511.12,513,56,742.63
2026-05-12,VRDE,SOUTHEAST,3595,433,5915.46,388,47,591.01
2026-05-12,VRDE,MIDWEST,3366,423,5647.59,375,46,667.46
2026-05-12,VRDE,WEST,4336,558,7479.42,474,55,679.5
2026-05-13,VRDE,NORTHEAST,4175,567,7171.34,478,56,691.87
2026-05-13,VRDE,SOUTHEAST,3871,499,6656.98,463,47,617.41
2026-05-13,VRDE,MIDWEST,3314,392,5251.97,364,44,530.5
2026-05-13,VRDE,WEST,4565,561,7912.96,469,57,687.55
2026-05-14,VRDE,NORTHEAST,4263,533,7268.59,445,42,511.59
2026-05-14,VRDE,SOUTHEAST,4019,513,6736.56,455,48,603.12
2026-05-14,VRDE,MIDWEST,3147,425,6061.48,348,40,537.09
2026-05-14,VRDE,WEST,5096,549,7430.72,546,54,708.37
2026-05-15,VRDE,NORTHEAST,4228,555,7350.13,491,53,693.73
2026-05-15,VRDE,SOUTHEAST,3798,467,6022.72,484,59,791.85
2026-05-15,VRDE,MIDWEST,3237,399,5640.38,403,42,544.86
2026-05-15,VRDE,WEST,4638,577,7546.19,575,68,867.22
2026-05-16,VRDE,NORTHEAST,3856,468,6301.87,512,56,753.57
2026-05-16,VRDE,SOUTHEAST,3796,456,5628.55,390,39,495.85
2026-05-16,VRDE,MIDWEST,3407,465,6259.35,348,47,608.37
2026-05-16,VRDE,WEST,4548,563,7284.37,555,64,883.08
2026-05-17,VRDE,NORTHEAST,4423,586,8189.06,472,51,661.22
2026-05-17,VRDE,SOUTHEAST,3537,441,5888.84,459,52,615.82
2026-05-17,VRDE,MIDWEST,3360,459,5846.7,363,41,501.91
2026-05-17,VRDE,WEST,4487,567,7340.51,545,64,778.74
2026-05-18,VRDE,NORTHEAST,4201,563,7552.75,505,60,767.35
2026-05-18,VRDE,SOUTHEAST,3963,510,6679.48,458,55,737.56
2026-05-18,VRDE,MIDWEST,3250,420,5907.68,398,49,669.71
2026-05-18,VRDE,WEST,4611,604,8077.56,584,66,828.13
2026-05-19,VRDE,NORTHEAST,4195,526,7176.94,511,52,659.76
2026-05-19,VRDE,SOUTHEAST,3849,499,6747.88,537,66,853.8
2026-05-19,VRDE,MIDWEST,3485,474,6472.77,339,39,501.98
2026-05-19,VRDE,WEST,5119,574,8110.04,536,65,834.69
2026-05-20,VRDE,NORTHEAST,4243,571,7729.59,540,61,773.68
2026-05-20,VRDE,SOUTHEAST,3745,458,6161.53,497,51,617.28
2026-05-20,VRDE,MIDWEST,3364,467,6505.6,440,55,691.05
2026-05-20,VRDE,WEST,4658,494,6549.22,575,57,678.66
2026-05-21,VRDE,NORTHEAST,3937,503,7031.54,606,77,933.25
2026-05-21,VRDE,SOUTHEAST,3352,426,5948.67,394,43,546.3
2026-05-21,VRDE,MIDWEST,3378,422,5790.83,436,50,667.16
2026-05-21,VRDE,WEST,5101,605,7924.85,577,76,983.8
2026-05-22,VRDE,NORTHEAST,4450,551,7666.27,482,58,763.92
2026-05-22,VRDE,SOUTHEAST,3875,530,7399.59,436,53,644.13
2026-05-22,VRDE,MIDWEST,3546,522,7180.47,423,49,652.69
2026-05-22,VRDE,WEST,4547,598,8041.73,542,63,811.32
2026-05-23,VRDE,NORTHEAST,3866,550,7480.86,445,55,717.55
2026-05-23,VRDE,SOUTHEAST,3848,507,6694.51,354,40,528.75
2026-05-23,VRDE,MIDWEST,3555,429,5776.89,424,47,609.36
2026-05-23,VRDE,WEST,4715,561,7968.72,524,60,771.85
2026-05-24,VRDE,NORTHEAST,4083,533,7438.8,577,69,882.66
2026-05-24,VRDE,SOUTHEAST,3972,459,6228.84,485,58,719.13
2026-05-24,VRDE,MIDWEST,3132,435,5804.51,360,37,482.1
2026-05-24,VRDE,WEST,4925,622,8725.04,579,69,925.66
2026-05-25,VRDE,NORTHEAST,4148,532,7123.32,494,59,744.97
2026-05-25,VRDE,SOUTHEAST,3817,458,6189.31,448,56,723.67
2026-05-25,VRDE,MIDWEST,3391,469,5798.89,378,34,437.1
2026-05-25,VRDE,WEST,4742,619,8446.25,531,69,903.02
2026-05-26,VRDE,NORTHEAST,4161,487,6674.64,501,55,717.94
2026-05-26,VRDE,SOUTHEAST,3834,457,6416.68,432,45,585.9
2026-05-26,VRDE,MIDWEST,3391,427,5702.55,418,45,548.82
2026-05-26,VRDE,WEST,4802,566,7591.95,607,69,991.2
2026-05-27,VRDE,NORTHEAST,3916,468,6347.8,581,65,789.49
2026-05-27,VRDE,SOUTHEAST,4005,474,6364.29,505,54,689.7
2026-05-27,VRDE,MIDWEST,3449,426,5812.4,388,43,539.16
2026-05-27,VRDE,WEST,4269,591,8086.4,619,65,836.86
2026-05-28,VRDE,NORTHEAST,4164,476,6538.95,497,55,674.33
2026-05-28,VRDE,SOUTHEAST,3974,519,7099.99,440,48,648.6
2026-05-28,VRDE,MIDWEST,3319,421,5718.81,384,49,582.59
2026-05-28,VRDE,WEST,4680,582,7479.41,596,71,912.62
2026-05-29,VRDE,NORTHEAST,4033,517,7221.16,541,70,934.1
2026-05-29,VRDE,SOUTHEAST,3932,532,7044.57,458,54,714.99
2026-05-29,VRDE,MIDWEST,3620,483,6561.55,433,48,612.16
2026-05-29,VRDE,WEST,4525,596,7938.41,569,65,828.44
2026-05-30,VRDE,NORTHEAST,4162,452,6173.14,523,60,792.61
2026-05-30,VRDE,SOUTHEAST,3440,492,6683.81,490,48,637.18
2026-05-30,VRDE,MIDWEST,3448,423,5773.07,476,53,663.87
2026-05-30,VRDE,WEST,4965,634,8555.65,704,82,1055.95
2026-05-31,VRDE,NORTHEAST,4293,527,7192.68,552,60,772.24
2026-05-31,VRDE,SOUTHEAST,3871,498,6865.27,521,61,807.68
2026-05-31,VRDE,MIDWEST,3323,411,5745.36,367,43,633.48
2026-05-31,VRDE,WEST,4226,578,7415.1,615,80,1090.51
2026-06-01,VRDE,NORTHEAST,4034,465,6029.37,577,64,826.45
2026-06-01,VRDE,SOUTHEAST,3846,492,6767.1,495,49,674.41
2026-06-01,VRDE,MIDWEST,2911,390,5183.98,429,47,596.92
2026-06-01,VRDE,WEST,4632,568,7432.92,640,69,946.68
2026-06-02,VRDE,NORTHEAST,4182,499,6839.96,587,62,791.77
2026-06-02,VRDE,SOUTHEAST,4063,476,6274.47,500,51,599.44
2026-06-02,VRDE,MIDWEST,3090,394,5430.27,459,54,663.05
2026-06-02,VRDE,WEST,4792,639,8453.51,648,72,933.94
2026-06-03,VRDE,NORTHEAST,4292,487,6873.43,514,58,736.75
2026-06-03,VRDE,SOUTHEAST,3880,496,6707.64,553,64,819.62
2026-06-03,VRDE,MIDWEST,2887,353,4739.52,411,43,577.37
2026-06-03,VRDE,WEST,4878,677,9461.55,573,67,814.69
