week_start,fiscal_quarter,active_cards,transactions,total_spend,avg_ticket,new_cust_cards,new_cust_spend,new_cust_txns,existing_cust_cards,existing_cust_spend,existing_cust_txns,Cust_freq,,
6/8/26,33890,339267,3.2,106020.9,,,,,,,,,,
6/15/26,35228,361980,3.19,113473.4,,,,,,,,,,
6/22/26,34011,362024,3.24,111735.8,,,,,,,,,,
6/29/26,38505,365917,3.19,114707.5,,,,,,,,,,
7/6/26,35503,369434,3.15,117280.6,,,,,,,,,,
7/13/26,34665,375377,3.13,119928.8,,,,,,,,,,
7/20/26,41779,374405,3.1,120775.8,,,,,,,,,,
7/27/26,39098,378985,3.15,120312.7,,,,,,,,,,
8/3/26,40989,383323,3.13,122467.4,,,,,,,,,,
8/10/26,45873,394296,3.24,121696.3,,,,,,,,,,
8/17/26,45232,380828,3.22,118269.6,,,,,,,,,,
8/24/26,45134,399201,3.21,124361.7,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
week_start,total_job_postings,new_location_postings,,,,,,,,,,,,
3/2/26,202,40,,,,,,,,,,,,
3/9/26,175,37,,,,,,,,,,,,
3/16/26,206,40,,,,,,,,,,,,
3/23/26,216,52,,,,,,,,,,,,
3/30/26,222,53,,,,,,,,,,,,
4/6/26,254,53,,,,,,,,,,,,
4/13/26,270,49,,,,,,,,,,,,
4/20/26,257,56,,,,,,,,,,,,
4/27/26,262,66,,,,,,,,,,,,
5/4/26,243,69,,,,,,,,,,,,
5/11/26,252,76,,,,,,,,,,,,
5/18/26,291,84,,,,,,,,,,,,
5/25/26,287,76,,,,,,,,,,,,
6/1/26,273,85,,,,,,,,,,,,
6/8/26,304,84,,,,,,,,,,,,
6/15/26,322,85,,,,,,,,,,,,
6/22/26,342,89,,,,,,,,,,,,
6/29/26,331,102,,,,,,,,,,,,
7/6/26,336,90,,,,,,,,,,,,
7/13/26,351,110,,,,,,,,,,,,
7/20/26,364,116,,,,,,,,,,,,
7/27/26,343,108,,,,,,,,,,,,
8/3/26,397,113,,,,,,,,,,,,
8/10/26,438,101,,,,,,,,,,,,
8/17/26,415,139,,,,,,,,,,,,
8/24/26,370,129,69%,,,,,,,,,,,
